opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
104,prostate,3,0.1,0.01,7,0.8482641046044059,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_7,0.6091966398909155
105,prostate,3,1.0,0.01,5,0.7865110367568728,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_5,0.6091966398909155
106,prostate,3,1.0,0.01,6,0.826830318474422,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_6,0.6091966398909155
107,prostate,3,1.0,0.01,7,0.847904365979216,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_7,0.6091966398909155
108,prostate,5,0.0,0.01,5,0.9508821144684315,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_5,0.6091966398909155
109,prostate,5,0.0,0.01,6,0.9351926164381825,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_6,0.6091966398909155
110,prostate,5,0.0,0.01,7,0.9005858096259737,name_prostate_kernal_size_5_lamda_0.0_sigma_0.01_dilation_level_7,0.6091966398909155
111,prostate,5,0.01,0.01,5,0.7776714630170691,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_5,0.6091966398909155
112,prostate,5,0.01,0.01,6,0.8186285162807774,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_6,0.6091966398909155
113,prostate,5,0.01,0.01,7,0.8436192756855361,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_7,0.6091966398909155
114,prostate,5,0.1,0.01,5,0.7776738983473614,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_5,0.6091966398909155
115,prostate,5,0.1,0.01,6,0.8186295956784813,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_6,0.6091966398909155
116,prostate,5,0.1,0.01,7,0.84362091476682,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_7,0.6091966398909155
117,prostate,5,1.0,0.01,5,0.7775215747770428,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_5,0.6091966398909155
118,prostate,5,1.0,0.01,6,0.8185209508725791,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_6,0.6091966398909155
119,prostate,5,1.0,0.01,7,0.8435381846150032,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_7,0.6091966398909155
120,prostate,3,0.0,0.001,5,0.9508821144684315,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_5,0.6091966398909155
121,prostate,3,0.0,0.001,6,0.9351926164381825,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_6,0.6091966398909155
122,prostate,3,0.0,0.001,7,0.9005858096259737,name_prostate_kernal_size_3_lamda_0.0_sigma_0.001_dilation_level_7,0.6091966398909155
123,prostate,3,0.01,0.001,5,0.9134442366332319,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_5,0.6091966398909155
124,prostate,3,0.01,0.001,6,0.9212041275108097,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_6,0.6091966398909155
125,prostate,3,0.01,0.001,7,0.9015999756360723,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_7,0.6091966398909155
126,prostate,3,0.1,0.001,5,0.9134442366332319,name_prostate_kernal_size_3_lamda_0.1_sigma_0.001_dilation_level_5,0.6091966398909155
127,prostate,3,0.1,0.001,6,0.9212041275108097,name_prostate_kernal_size_3_lamda_0.1_sigma_0.001_dilation_level_6,0.6091966398909155
