opt,name,kernal_size,lamda,sigma,dilation_level,fd
323,prostate,5,5.0,0.02,3,0.44296864808302766
324,prostate,5,5.0,0.02,5,0.537692830738733
325,prostate,5,5.0,0.02,7,0.6205762348233417
326,prostate,5,5.0,0.02,9,0.6566713525311214
327,prostate,5,5.0,0.02,12,0.66839148076676
328,prostate,5,5.0,0.02,14,0.6660225210007374
329,prostate,5,10.0,0.02,0,0.29317607797706163
330,prostate,5,10.0,0.02,3,0.44296864808302766
331,prostate,5,10.0,0.02,5,0.537692830738733
332,prostate,5,10.0,0.02,7,0.6205762348233417
333,prostate,5,10.0,0.02,9,0.6566713525311214
334,prostate,5,10.0,0.02,12,0.66839148076676
335,prostate,5,10.0,0.02,14,0.6660225210007374
336,prostate,7,0.0,0.02,0,0.29317607797706163
337,prostate,7,0.0,0.02,3,0.6770025145904832
338,prostate,7,0.0,0.02,5,0.8513409319307439
339,prostate,7,0.0,0.02,7,0.8015674863690674
340,prostate,7,0.0,0.02,9,0.6883796718358589
341,prostate,7,0.0,0.02,12,0.5361163659276773
342,prostate,7,0.0,0.02,14,0.45644296366613496
343,prostate,7,0.1,0.02,0,0.29317607797706163
344,prostate,7,0.1,0.02,3,0.43229610629925014
345,prostate,7,0.1,0.02,5,0.5226087081065993
346,prostate,7,0.1,0.02,7,0.6023424876546007
347,prostate,7,0.1,0.02,9,0.6341587779439498
348,prostate,7,0.1,0.02,12,0.6494031519138188
349,prostate,7,0.1,0.02,14,0.6401971506076821
350,prostate,7,1.0,0.02,0,0.29317607797706163
351,prostate,7,1.0,0.02,3,0.43229436336403904
352,prostate,7,1.0,0.02,5,0.522605000806918
353,prostate,7,1.0,0.02,7,0.6023414429077081
354,prostate,7,1.0,0.02,9,0.6341614407896234
355,prostate,7,1.0,0.02,12,0.6494063613135236
356,prostate,7,1.0,0.02,14,0.6402012027414425
357,prostate,7,2.0,0.02,0,0.29317607797706163
358,prostate,7,2.0,0.02,3,0.43229436336403904
359,prostate,7,2.0,0.02,5,0.522605000806918
