opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
87,prostate,5,0.01,0.1,5,0.703233755,name_prostate_kernal_size_5_lamda_0.01_sigma_0.1_dilation_level_5,0.60919664
93,prostate,5,1,0.1,5,0.703233755,name_prostate_kernal_size_5_lamda_1.0_sigma_0.1_dilation_level_5,0.60919664
90,prostate,5,0.1,0.1,5,0.703232634,name_prostate_kernal_size_5_lamda_0.1_sigma_0.1_dilation_level_5,0.60919664
75,prostate,3,0.01,0.1,5,0.701838738,name_prostate_kernal_size_3_lamda_0.01_sigma_0.1_dilation_level_5,0.60919664
78,prostate,3,0.1,0.1,5,0.701837225,name_prostate_kernal_size_3_lamda_0.1_sigma_0.1_dilation_level_5,0.60919664
81,prostate,3,1,0.1,5,0.701836322,name_prostate_kernal_size_3_lamda_1.0_sigma_0.1_dilation_level_5,0.60919664
53,prostate,3,0.01,1,7,0.620524788,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_7,0.60919664
56,prostate,3,0.1,1,7,0.620524788,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_7,0.60919664
59,prostate,3,1,1,7,0.620524788,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_7,0.60919664
5,prostate,3,0.01,100,7,0.620502771,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_7,0.60919664
8,prostate,3,0.1,100,7,0.6204818,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_7,0.60919664
11,prostate,3,1,100,7,0.620467807,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_7,0.60919664
4,prostate,3,0.01,100,6,0.62045598,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_6,0.60919664
7,prostate,3,0.1,100,6,0.620435009,name_prostate_kernal_size_3_lamda_0.1_sigma_100.0_dilation_level_6,0.60919664
10,prostate,3,1,100,6,0.620421016,name_prostate_kernal_size_3_lamda_1.0_sigma_100.0_dilation_level_6,0.60919664
3,prostate,3,0.01,100,5,0.620408645,name_prostate_kernal_size_3_lamda_0.01_sigma_100.0_dilation_level_5,0.60919664
32,prostate,3,0.1,10,7,0.620391663,name_prostate_kernal_size_3_lamda_0.1_sigma_10.0_dilation_level_7,0.60919664
