opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
237,prostate,5,1,0.001,7,0.688775053,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_7,0.458471518
205,prostate,3,0.01,0.001,5,0.679318821,name_prostate_kernal_size_3_lamda_0.01_sigma_0.001_dilation_level_5,0.458471518
210,prostate,3,0.1,0.001,5,0.679318821,name_prostate_kernal_size_3_lamda_0.1_sigma_0.001_dilation_level_5,0.458471518
215,prostate,3,1,0.001,5,0.679318821,name_prostate_kernal_size_3_lamda_1.0_sigma_0.001_dilation_level_5,0.458471518
174,prostate,3,0.1,0.01,11,0.659618171,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_11,0.458471518
169,prostate,3,0.01,0.01,11,0.659616548,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_11,0.458471518
226,prostate,5,0.01,0.001,6,0.658527134,name_prostate_kernal_size_5_lamda_0.01_sigma_0.001_dilation_level_6,0.458471518
231,prostate,5,0.1,0.001,6,0.658527134,name_prostate_kernal_size_5_lamda_0.1_sigma_0.001_dilation_level_6,0.458471518
236,prostate,5,1,0.001,6,0.658527134,name_prostate_kernal_size_5_lamda_1.0_sigma_0.001_dilation_level_6,0.458471518
179,prostate,3,1,0.01,11,0.658427049,name_prostate_kernal_size_3_lamda_1.0_sigma_0.01_dilation_level_11,0.458471518
194,prostate,5,0.1,0.01,11,0.652350525,name_prostate_kernal_size_5_lamda_0.1_sigma_0.01_dilation_level_11,0.458471518
189,prostate,5,0.01,0.01,11,0.652349691,name_prostate_kernal_size_5_lamda_0.01_sigma_0.01_dilation_level_11,0.458471518
199,prostate,5,1,0.01,11,0.652134019,name_prostate_kernal_size_5_lamda_1.0_sigma_0.01_dilation_level_11,0.458471518
168,prostate,3,0.01,0.01,9,0.624595416,name_prostate_kernal_size_3_lamda_0.01_sigma_0.01_dilation_level_9,0.458471518
173,prostate,3,0.1,0.01,9,0.624593904,name_prostate_kernal_size_3_lamda_0.1_sigma_0.01_dilation_level_9,0.458471518
