opt,name,kernal_size,lamda,sigma,dilation_level,fd,arg_name,baseline
67,prostate,5,0.01,10.0,7,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_7,0.45847151791175345
68,prostate,5,0.01,10.0,9,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_9,0.45847151791175345
69,prostate,5,0.01,10.0,11,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_10.0_dilation_level_11,0.45847151791175345
70,prostate,5,0.1,10.0,5,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_5,0.45847151791175345
71,prostate,5,0.1,10.0,6,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_6,0.45847151791175345
72,prostate,5,0.1,10.0,7,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_7,0.45847151791175345
73,prostate,5,0.1,10.0,9,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_9,0.45847151791175345
74,prostate,5,0.1,10.0,11,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.1_sigma_10.0_dilation_level_11,0.45847151791175345
75,prostate,5,1.0,10.0,5,0.45847151791175345,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_5,0.45847151791175345
76,prostate,5,1.0,10.0,6,0.45847151791175345,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_6,0.45847151791175345
77,prostate,5,1.0,10.0,7,0.45847151791175345,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_7,0.45847151791175345
78,prostate,5,1.0,10.0,9,0.45847151791175345,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_9,0.45847151791175345
79,prostate,5,1.0,10.0,11,0.45847151791175345,name_prostate_kernal_size_5_lamda_1.0_sigma_10.0_dilation_level_11,0.45847151791175345
80,prostate,3,0.0,1.0,5,0.7182339180630348,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_5,0.45847151791175345
81,prostate,3,0.0,1.0,6,0.7579382396948425,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_6,0.45847151791175345
82,prostate,3,0.0,1.0,7,0.7885533701283061,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_7,0.45847151791175345
83,prostate,3,0.0,1.0,9,0.8211802169103894,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_9,0.45847151791175345
84,prostate,3,0.0,1.0,11,0.8196913868453408,name_prostate_kernal_size_3_lamda_0.0_sigma_1.0_dilation_level_11,0.45847151791175345
85,prostate,3,0.01,1.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_5,0.45847151791175345
86,prostate,3,0.01,1.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_6,0.45847151791175345
87,prostate,3,0.01,1.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_7,0.45847151791175345
88,prostate,3,0.01,1.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_9,0.45847151791175345
89,prostate,3,0.01,1.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.01_sigma_1.0_dilation_level_11,0.45847151791175345
90,prostate,3,0.1,1.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_5,0.45847151791175345
91,prostate,3,0.1,1.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_6,0.45847151791175345
92,prostate,3,0.1,1.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_7,0.45847151791175345
93,prostate,3,0.1,1.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_9,0.45847151791175345
94,prostate,3,0.1,1.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_0.1_sigma_1.0_dilation_level_11,0.45847151791175345
95,prostate,3,1.0,1.0,5,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_5,0.45847151791175345
96,prostate,3,1.0,1.0,6,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_6,0.45847151791175345
97,prostate,3,1.0,1.0,7,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_7,0.45847151791175345
98,prostate,3,1.0,1.0,9,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_9,0.45847151791175345
99,prostate,3,1.0,1.0,11,0.45847151791175345,name_prostate_kernal_size_3_lamda_1.0_sigma_1.0_dilation_level_11,0.45847151791175345
100,prostate,5,0.0,1.0,5,0.7182339180630348,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_5,0.45847151791175345
101,prostate,5,0.0,1.0,6,0.7579382396948425,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_6,0.45847151791175345
102,prostate,5,0.0,1.0,7,0.7885533701283061,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_7,0.45847151791175345
103,prostate,5,0.0,1.0,9,0.8211802169103894,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_9,0.45847151791175345
104,prostate,5,0.0,1.0,11,0.8196913868453408,name_prostate_kernal_size_5_lamda_0.0_sigma_1.0_dilation_level_11,0.45847151791175345
105,prostate,5,0.01,1.0,5,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_5,0.45847151791175345
106,prostate,5,0.01,1.0,6,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_6,0.45847151791175345
107,prostate,5,0.01,1.0,7,0.45847151791175345,name_prostate_kernal_size_5_lamda_0.01_sigma_1.0_dilation_level_7,0.45847151791175345
