opt,name,kernal_size,lamda,sigma,dilation_level,fd
174,cardiac,5,0.0,0.01,14,0.2756869383445312
175,cardiac,5,0.1,0.01,0,0.1869135328646839
176,cardiac,5,0.1,0.01,3,0.45040467489173736
177,cardiac,5,0.1,0.01,5,0.6702133953547099
178,cardiac,5,0.1,0.01,7,0.8000141567336677
179,cardiac,5,0.1,0.01,9,0.8023474372136938
180,cardiac,5,0.1,0.01,12,0.7912708076753012
181,cardiac,5,0.1,0.01,14,0.7839128776123977
182,cardiac,5,1.0,0.01,0,0.1869135328646839
183,cardiac,5,1.0,0.01,3,0.4503967395849969
184,cardiac,5,1.0,0.01,5,0.670208464998455
185,cardiac,5,1.0,0.01,7,0.8000502442853716
186,cardiac,5,1.0,0.01,9,0.8024428630745466
187,cardiac,5,1.0,0.01,12,0.7917209600534779
188,cardiac,5,1.0,0.01,14,0.784555628015637
189,cardiac,5,2.0,0.01,0,0.1869135328646839
190,cardiac,5,2.0,0.01,3,0.4503967395849969
191,cardiac,5,2.0,0.01,5,0.670208464998455
192,cardiac,5,2.0,0.01,7,0.8000502442853716
193,cardiac,5,2.0,0.01,9,0.8024428630745466
194,cardiac,5,2.0,0.01,12,0.7917209600534779
195,cardiac,5,2.0,0.01,14,0.784555628015637
196,cardiac,5,5.0,0.01,0,0.1869135328646839
197,cardiac,5,5.0,0.01,3,0.4503967395849969
198,cardiac,5,5.0,0.01,5,0.6702088168714058
199,cardiac,5,5.0,0.01,7,0.8000502442853716
200,cardiac,5,5.0,0.01,9,0.8024428630745466
201,cardiac,5,5.0,0.01,12,0.7917209600534779
202,cardiac,5,5.0,0.01,14,0.784555628015637
203,cardiac,5,10.0,0.01,0,0.1869135328646839
204,cardiac,5,10.0,0.01,3,0.4503967395849969
205,cardiac,5,10.0,0.01,5,0.6702088168714058
206,cardiac,5,10.0,0.01,7,0.8000502442853716
207,cardiac,5,10.0,0.01,9,0.8024428630745466
208,cardiac,5,10.0,0.01,12,0.7917209600534779
209,cardiac,5,10.0,0.01,14,0.784555628015637
210,cardiac,7,0.0,0.01,0,0.1869135328646839
211,cardiac,7,0.0,0.01,3,0.6675447773248978
212,cardiac,7,0.0,0.01,5,0.7574114962797962
213,cardiac,7,0.0,0.01,7,0.6352669751818419
214,cardiac,7,0.0,0.01,9,0.4887029350204753
215,cardiac,7,0.0,0.01,12,0.34119565002572927
216,cardiac,7,0.0,0.01,14,0.2756869383445312
217,cardiac,7,0.1,0.01,0,0.1869135328646839
218,cardiac,7,0.1,0.01,3,0.4435441674931591
219,cardiac,7,0.1,0.01,5,0.6652497933643743
220,cardiac,7,0.1,0.01,7,0.8019549738928362
221,cardiac,7,0.1,0.01,9,0.8076831284309162
222,cardiac,7,0.1,0.01,12,0.7996432315533896
223,cardiac,7,0.1,0.01,14,0.7948669131516284
224,cardiac,7,1.0,0.01,0,0.1869135328646839
